Type,Domain,Problem,Compiler,SAT Clauses,SAT Vars,SAT Encoding Time,Compiled Size,Compiled #Sol,Compile Time
fluent,mystery,prob22.pddl,dsharp,37029,959,3.66284179688,memout,memout,109.720000003
fluent,mystery,prob23.pddl,sharpSAT,14725,584,1.29204511642,memout,memout,397.449999999
fluent,mystery,prob23.pddl,c2d-dt0,14725,584,1.29204511642,timeout,timeout,1803.12
fluent,mystery,prob23.pddl,cnf2bdd,14725,584,1.29204511642,timeout,timeout,1805.25
fluent,mystery,prob23.pddl,c2d-dt4,14725,584,1.29204511642,timeout,timeout,1805.19
fluent,mystery,prob23.pddl,mc2d-dt4,14725,584,1.29204511642,segfault,segfault,757.359999999
fluent,mystery,prob23.pddl,bddminisat,14725,584,1.29204511642,memout,memout,13.3200000003
fluent,mystery,prob23.pddl,mc2d-dt0,14725,584,1.29204511642,timeout,timeout,1822.27
fluent,mystery,prob23.pddl,dsharp,14725,584,1.29204511642,memout,memout,74.1100000031
fluent,mystery,prob24.pddl,sharpSAT,7821,759,0.690732955933,-,50860222182842261020763004804390386374630147795291692839082857352421028689667819762200040102455508837816461001955708351508097392323571301043735479696831616949167051843330848778615828375090690258841380715399642845874138680576,208.969999999
fluent,mystery,prob24.pddl,c2d-dt0,7821,759,0.690732955933,timeout,timeout,1812.67
fluent,mystery,prob24.pddl,cnf2bdd,7821,759,0.690732955933,timeout,timeout,1812.34
fluent,mystery,prob24.pddl,c2d-dt4,7821,759,0.690732955933,timeout,timeout,1811.14
fluent,mystery,prob24.pddl,mc2d-dt4,7821,759,0.690732955933,segfault,segfault,519.170000002
fluent,mystery,prob24.pddl,bddminisat,7821,759,0.690732955933,memout,memout,19.1999999993
fluent,mystery,prob24.pddl,mc2d-dt0,7821,759,0.690732955933,segfault,segfault,166.219999999
fluent,mystery,prob24.pddl,dsharp,7821,759,0.690732955933,memout,memout,177.0
fluent,mystery,prob25.pddl,sharpSAT,309,43,0.0528059005737,-,24195098368,0.0600000023842
fluent,mystery,prob25.pddl,c2d-dt0,309,43,0.0528059005737,10249,24195098368,0.39999999851
fluent,mystery,prob25.pddl,cnf2bdd,309,43,0.0528059005737,4831,-,0.310000002384
fluent,mystery,prob25.pddl,c2d-dt4,309,43,0.0528059005737,4931,24195098368,0.0999999977648
