Type,Domain,Problem,Compiler,SAT Clauses,SAT Vars,SAT Encoding Time,Compiled Size,Compiled #Sol,Compile Time
action,mystery,prob24.pddl,cnf2bdd,11731,4669,0.706073045731,timeout,timeout,1800.07
action,mystery,prob24.pddl,c2d-dt4,11731,4669,0.706073045731,timeout,timeout,1800.08
action,mystery,prob24.pddl,mc2d-dt4,11731,4669,0.706073045731,segfault,segfault,336.370000001
action,mystery,prob24.pddl,bddminisat,11731,4669,0.706073045731,memout,memout,13.8900000006
action,mystery,prob24.pddl,mc2d-dt0,11731,4669,0.706073045731,memout,memout,1110.96
action,mystery,prob24.pddl,dsharp,11731,4669,0.706073045731,memout,memout,174.729999997
action,mystery,prob25.pddl,sharpSAT,463,197,0.0715219974518,-,46733028870900520094980552801394,0.110000003129
action,mystery,prob25.pddl,c2d-dt0,463,197,0.0715219974518,67195,46733028870900520094980552801394,1.39999999851
action,mystery,prob25.pddl,cnf2bdd,463,197,0.0715219974518,timeout,timeout,1800.03
action,mystery,prob25.pddl,c2d-dt4,463,197,0.0715219974518,87048,46733028870900520094980552801394,0.54999999702
action,mystery,prob25.pddl,mc2d-dt4,463,197,0.0715219974518,130536,46733028870900520094980552801394,0.620000001043
action,mystery,prob25.pddl,bddminisat,463,197,0.0715219974518,memout,memout,16.6099999994
action,mystery,prob25.pddl,mc2d-dt0,463,197,0.0715219974518,106661,46733028870900520094980552801394,1.47000000253
action,mystery,prob25.pddl,dsharp,463,197,0.0715219974518,43419,46732999999999999456309619458048,0.769999999553
action,mystery,prob26.pddl,sharpSAT,4609,1711,0.275469064713,timeout,timeout,1800.1
action,mystery,prob26.pddl,c2d-dt0,4609,1711,0.275469064713,segfault,segfault,1519.63
action,mystery,prob26.pddl,cnf2bdd,4609,1711,0.275469064713,timeout,timeout,1800.14
action,mystery,prob26.pddl,c2d-dt4,4609,1711,0.275469064713,memout,memout,1592.83
action,mystery,prob26.pddl,mc2d-dt4,4609,1711,0.275469064713,segfault,segfault,298.379999999
action,mystery,prob26.pddl,bddminisat,4609,1711,0.275469064713,memout,memout,10.620000001
action,mystery,prob26.pddl,mc2d-dt0,4609,1711,0.275469064713,memout,memout,876.469999999
action,mystery,prob26.pddl,dsharp,4609,1711,0.275469064713,memout,memout,25.7399999984
action,mystery,prob27.pddl,sharpSAT,3484,1313,0.299744129181,memout,memout,359.080000002
action,mystery,prob27.pddl,c2d-dt0,3484,1313,0.299744129181,timeout,timeout,1800.1
action,mystery,prob27.pddl,cnf2bdd,3484,1313,0.299744129181,timeout,timeout,1800.07
action,mystery,prob27.pddl,c2d-dt4,3484,1313,0.299744129181,timeout,timeout,1800.14
action,mystery,prob27.pddl,mc2d-dt4,3484,1313,0.299744129181,timeout,timeout,1800.1
action,mystery,prob27.pddl,bddminisat,3484,1313,0.299744129181,memout,memout,10.75
action,mystery,prob27.pddl,mc2d-dt0,3484,1313,0.299744129181,timeout,timeout,1807.14
action,mystery,prob27.pddl,dsharp,3484,1313,0.299744129181,memout,memout,41.0500000007
action,mystery,prob28.pddl,sharpSAT,583,272,0.0609781742096,-,334317937376039881715844873609186341220056975785240584,0.0300000011921
action,mystery,prob28.pddl,c2d-dt0,583,272,0.0609781742096,5307,334317937376039881715844873609186341220056975785240584,2.08999999985
action,mystery,prob28.pddl,cnf2bdd,583,272,0.0609781742096,683026,-,751.099999998
action,mystery,prob28.pddl,c2d-dt4,583,272,0.0609781742096,5150,334317937376039881715844873609186341220056975785240584,0.089999999851
action,mystery,prob28.pddl,mc2d-dt4,583,272,0.0609781742096,7323,334317937376039881715844873609186341220056975785240584,0.089999999851
action,mystery,prob28.pddl,bddminisat,583,272,0.0609781742096,memout,memout,14.9800000004
action,mystery,prob28.pddl,mc2d-dt0,583,272,0.0609781742096,8052,334317937376039881715844873609186341220056975785240584,2.08999999985
action,mystery,prob28.pddl,dsharp,583,272,0.0609781742096,2252,334317999999999987163620096433579720503651699544555520,0.070000000298
action,mystery,prob29.pddl,sharpSAT,3673,1401,0.286135911942,-,811458801523373768046066125752298223251822352667210231099301551763593045163128346870111818754048502917355162739012263237788458240076566435194377245159019280258452451821191055721207327815206540924319596151431160848576324924938620551175288571194094030871537167404998111770713763175344214412048826027892249227866467257847577301195484,67.120000001
action,mystery,prob29.pddl,c2d-dt0,3673,1401,0.286135911942,28598923,811458801523373768046066125752298223251822352667210231099301551763593045163128346870111818754048502917355162739012263237788458240076566435194377245159019280258452451821191055721207327815206540924319596151431160848576324924938620551175288571194094030871537167404998111770713763175344214412048826027892249227866467257847577301195484,1126.37
action,mystery,prob29.pddl,cnf2bdd,3673,1401,0.286135911942,timeout,timeout,1800.05
action,mystery,prob29.pddl,c2d-dt4,3673,1401,0.286135911942,15498022,811458801523373768046066125752298223251822352667210231099301551763593045163128346870111818754048502917355162739012263237788458240076566435194377245159019280258452451821191055721207327815206540924319596151431160848576324924938620551175288571194094030871537167404998111770713763175344214412048826027892249227866467257847577301195484,1299.47
action,mystery,prob29.pddl,mc2d-dt4,3673,1401,0.286135911942,19816489,811458801523373768046066125752298223251822352667210231099301551763593045163128346870111818754048502917355162739012263237788458240076566435194377245159019280258452451821191055721207327815206540924319596151431160848576324924938620551175288571194094030871537167404998111770713763175344214412048826027892249227866467257847577301195484,1762.52
action,mystery,prob29.pddl,bddminisat,3673,1401,0.286135911942,memout,memout,15.7300000004
action,mystery,prob29.pddl,mc2d-dt0,3673,1401,0.286135911942,timeout,timeout,1809.58
action,mystery,prob29.pddl,dsharp,3673,1401,0.286135911942,memout,memout,87.2800000012
action,mystery,prob30.pddl,sharpSAT,12256,4404,0.754413127899,memout,memout,351.0
action,mystery,prob30.pddl,c2d-dt0,12256,4404,0.754413127899,timeout,timeout,1800.07
action,mystery,prob30.pddl,cnf2bdd,12256,4404,0.754413127899,timeout,timeout,1800.05
action,mystery,prob30.pddl,c2d-dt4,12256,4404,0.754413127899,timeout,timeout,1800.1
action,mystery,prob30.pddl,mc2d-dt4,12256,4404,0.754413127899,memout,memout,238.780000001
action,mystery,prob30.pddl,bddminisat,12256,4404,0.754413127899,memout,memout,75.0600000024
action,mystery,prob30.pddl,mc2d-dt0,12256,4404,0.754413127899,memout,memout,277.560000002
action,mystery,prob30.pddl,dsharp,12256,4404,0.754413127899,memout,memout,21.0200000033
action,trucks,p01.pddl,sharpSAT,766,351,0.176817178726,-,453152520271958123345595060337986277809321085037432809151712492987075136,0.820000000298
action,trucks,p01.pddl,c2d-dt0,766,351,0.176817178726,150208,453152520271958123345595060337986277809321085037432809151712492987075136,2.53999999911
action,trucks,p01.pddl,cnf2bdd,766,351,0.176817178726,timeout,timeout,1800.16
action,trucks,p01.pddl,c2d-dt4,766,351,0.176817178726,26430,453152520271958123345595060337986277809321085037432809151712492987075136,0.260000001639
action,trucks,p01.pddl,mc2d-dt4,766,351,0.176817178726,47154,453152520271958123345595060337986277809321085037432809151712492987075136,0.199999999255
action,trucks,p01.pddl,bddminisat,766,351,0.176817178726,memout,memout,13.370000001
action,trucks,p01.pddl,mc2d-dt0,766,351,0.176817178726,43285,453152520271958123345595060337986277809321085037432809151712492987075136,1.86999999732
action,trucks,p01.pddl,dsharp,766,351,0.176817178726,253033,453153000000000045231245766534675849930010480389669702553121354802003968,5.56000000238
action,trucks,p02.pddl,sharpSAT,985,452,0.232944965363,-,951431511264182942320293138063513611923965158698582152123032020561144857371822304767126319405976,9.84999999776
action,trucks,p02.pddl,c2d-dt0,985,452,0.232944965363,33542,951431511264182942320293138063513611923965158698582152123032020561144857371822304767126319405976,2.83000000194
action,trucks,p02.pddl,cnf2bdd,985,452,0.232944965363,timeout,timeout,1800.05
action,trucks,p02.pddl,c2d-dt4,985,452,0.232944965363,39319,951431511264182942320293138063513611923965158698582152123032020561144857371822304767126319405976,0.269999999553
action,trucks,p02.pddl,mc2d-dt4,985,452,0.232944965363,71772,951431511264182942320293138063513611923965158698582152123032020561144857371822304767126319405976,0.269999999553
action,trucks,p02.pddl,bddminisat,985,452,0.232944965363,memout,memout,17.8999999985
action,trucks,p02.pddl,mc2d-dt0,985,452,0.232944965363,76293,951431511264182942320293138063513611923965158698582152123032020561144857371822304767126319405976,2.58999999985
action,trucks,p02.pddl,dsharp,985,452,0.232944965363,memout,memout,31.6800000034
action,trucks,p03.pddl,sharpSAT,2338,979,0.484783887863,memout,memout,178.469999999
action,trucks,p03.pddl,c2d-dt0,2338,979,0.484783887863,268679,1648639260563951497909675234915878647205069966422326953472640073957068462895262136776453354294982454883999606566048894424919987878680065439246004248704829638286815053196393525867547099910387051338401250771218876564120696228153822,8.42000000179
action,trucks,p03.pddl,cnf2bdd,2338,979,0.484783887863,timeout,timeout,1800.06
